AU,被试,性别,均值,标准差,中位数,最小值,最大值,帧数
AU01_r,男性1,male,0.1663,0.2382,0.0400,0.0000,1.1000,9775
AU01_r,男性2,male,0.1363,0.2411,0.0300,0.0000,1.6400,9881
AU01_r,女性1,female,0.0780,0.1063,0.0400,0.0000,0.9700,9955
AU02_r,男性1,male,0.0570,0.1114,0.0000,0.0000,0.7800,9775
AU02_r,男性2,male,0.0530,0.1038,0.0000,0.0000,0.8400,9881
AU02_r,女性1,female,0.0405,0.0676,0.0000,0.0000,0.5400,9955
AU04_r,男性1,male,1.5610,0.2052,1.5500,0.8600,2.5600,9775
AU04_r,男性2,male,1.2037,0.2044,1.2000,0.0000,2.3400,9881
AU04_r,女性1,female,1.0695,0.1964,1.0900,0.5000,1.8400,9955
AU05_r,男性1,male,0.0711,0.1614,0.0000,0.0000,1.1900,9775
AU05_r,男性2,male,0.0329,0.0735,0.0000,0.0000,0.5900,9881
AU05_r,女性1,female,0.0374,0.0784,0.0000,0.0000,0.6800,9955
AU06_r,男性1,male,0.1532,0.1415,0.1200,0.0000,0.9100,9775
AU06_r,男性2,male,0.6259,0.1691,0.6200,0.0000,1.5800,9881
AU06_r,女性1,female,0.0001,0.0014,0.0000,0.0000,0.0400,9955
AU07_r,男性1,male,1.4933,0.4500,1.5400,0.2500,2.9500,9775
AU07_r,男性2,male,1.7927,0.2688,1.7900,0.0000,3.3200,9881
AU07_r,女性1,female,0.0358,0.0920,0.0000,0.0000,0.9300,9955
AU09_r,男性1,male,0.0420,0.0773,0.0000,0.0000,0.7200,9775
AU09_r,男性2,male,0.0424,0.0970,0.0000,0.0000,1.2800,9881
AU09_r,女性1,female,0.0283,0.0444,0.0100,0.0000,0.4400,9955
AU10_r,男性1,male,0.5322,0.1834,0.5300,0.0200,1.1500,9775
AU10_r,男性2,male,0.2542,0.1734,0.2400,0.0000,1.3600,9881
AU10_r,女性1,female,0.5557,0.1566,0.5700,0.0100,1.0700,9955
AU12_r,男性1,male,0.6908,0.1544,0.6800,0.2500,1.1600,9775
AU12_r,男性2,male,0.2493,0.1639,0.2400,0.0000,1.1000,9881
AU12_r,女性1,female,0.1877,0.0613,0.1900,0.0100,0.4200,9955
AU14_r,男性1,male,0.0062,0.0270,0.0000,0.0000,0.4500,9775
AU14_r,男性2,male,0.0007,0.0143,0.0000,0.0000,0.5800,9881
AU14_r,女性1,female,0.0000,0.0000,0.0000,0.0000,0.0000,9955
AU15_r,男性1,male,0.0718,0.1000,0.0300,0.0000,1.1400,9775
AU15_r,男性2,male,0.1110,0.1736,0.0200,0.0000,1.2700,9881
AU15_r,女性1,female,0.0635,0.0894,0.0300,0.0000,0.5700,9955
AU17_r,男性1,male,0.1678,0.1323,0.1500,0.0000,1.7000,9775
AU17_r,男性2,male,0.4821,0.4221,0.4000,0.0000,2.5100,9881
AU17_r,女性1,female,0.1751,0.1332,0.1600,0.0000,0.6800,9955
AU20_r,男性1,male,0.0560,0.0926,0.0100,0.0000,0.7500,9775
AU20_r,男性2,male,0.0705,0.1189,0.0000,0.0000,1.1000,9881
AU20_r,女性1,female,0.0443,0.0613,0.0200,0.0000,0.4500,9955
AU23_r,男性1,male,0.1008,0.1568,0.0200,0.0000,1.6800,9775
AU23_r,男性2,male,0.1024,0.1616,0.0400,0.0000,1.6700,9881
AU23_r,女性1,female,0.0657,0.0821,0.0300,0.0000,0.4700,9955
AU25_r,男性1,male,0.2031,0.1990,0.1400,0.0000,0.8700,9775
AU25_r,男性2,male,0.4475,0.5338,0.2300,0.0000,2.5400,9881
AU25_r,女性1,female,0.1120,0.0782,0.1000,0.0000,0.4400,9955
AU26_r,男性1,male,0.2634,0.2367,0.2300,0.0000,2.2000,9775
AU26_r,男性2,male,0.2629,0.2726,0.1900,0.0000,2.1400,9881
AU26_r,女性1,female,0.1915,0.1589,0.1700,0.0000,0.8100,9955
AU45_r,男性1,male,0.3662,0.7696,0.0100,0.0000,4.7500,9775
AU45_r,男性2,male,0.2007,0.3952,0.0200,0.0000,3.2900,9881
AU45_r,女性1,female,0.1965,0.4122,0.0200,0.0000,3.7700,9955
