,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0.0,0.0,5.54,21.22,2.49,0.0,0.09,0.0,0.0,3.14,0.54,1.3,0.0,1.37,27.53,12.38,0.0,7.19,9.26,45.12,4.22,20.22,26.48,2.2600000000000002,0.0,0.19,21.62,0.89,0.03,0.06,0.0,35.39,20.17,19.15,0.38,0.0,39.37,5.2299999999999995,24.64,27.42,0.0,0.0,14.06,22.38,0.06,6.64,3.46,3.91,11.69,4.13,18.5,7.61,6.78,44.05,3.43,22.44,27.12,0.0,0.0,10.65,9.26,2.2,7.25,3.5300000000000002,1.28,5.43,6.8100000000000005,2.34
1,0.03,0.72,0.6900000000000001,5.24,21.06,2.44,2.74,0.0,1.78,13.18,0.3,9.49,0.0,0.0,2.25,0.15,0.63,1.6300000000000001,2.46,45.18,0.36,31.55,45.14,0.06,0.0,7.67,24.17,2.21,3.0100000000000002,0.0,0.0,19.95,10.99,4.42,0.29000000000000004,0.0,22.31,1.52,17.65,4.84,0.0,0.0,24.78,18.82,0.0,5.95,7.63,3.66,17.66,13.37,3.48,0.53,0.0,29.19,0.18,17.97,18.05,0.0,0.0,10.24,0.02,13.01,8.33,2.14,0.2,2.42,2.2,0.0
2,0.21,0.87,6.7,3.07,37.92,12.19,10.23,0.0,14.22,17.19,0.3,6.05,0.0,0.0,11.93,0.13,7.32,1.05,11.06,37.12,1.78,25.34,29.990000000000002,4.97,0.0,8.25,14.08,7.08,22.08,0.0,0.0,3.99,6.12,17.23,0.86,0.3,31.42,0.06,24.95,23.53,0.0,0.45,23.96,30.419999999999998,3.4,16.79,7.65,18.96,12.61,46.78,15.209999999999999,0.36,0.1,31.42,0.83,13.94,24.07,0.09,0.0,15.18,4.97,0.73,17.12,1.7,0.26,2.15,4.54,4.21
3,0.03,2.04,7.32,4.32,35.32,7.0600000000000005,7.88,0.0,8.65,20.39,0.33,4.87,0.0,0.0,20.02,1.12,0.3,6.13,2.4,38.12,2.34,26.43,28.7,0.92,0.0,7.44,5.6,3.8600000000000003,23.61,0.0,0.0,5.37,0.21,0.23,0.0,0.0,21.77,2.85,21.11,24.8,0.0,0.13,19.1,25.23,3.38,9.8,23.96,20.09,11.34,53.14,0.23,0.03,0.96,37.88,0.33,21.32,13.69,0.06,0.06,11.99,5.03,2.31,16.16,11.23,1.71,3.18,10.290000000000001,16.05
4,3.8,11.38,26.21,6.36,28.52,33.46,6.13,0.0,6.0,13.13,0.99,28.8,0.0,0.0,1.6300000000000001,0.45,36.18,13.030000000000001,5.12,52.46,0.61,25.27,51.13,0.15,0.0,8.23,16.64,8.21,23.62,0.0,0.0,1.35,0.51,1.32,2.41,0.09,20.89,0.93,24.46,24.5,0.0,3.63,19.06,35.54,1.9200000000000002,9.49,29.31,11.96,15.96,45.19,19.84,0.05,0.12,29.16,0.09,21.62,19.46,0.0,0.05,8.53,1.42,15.63,6.15,8.36,14.56,2.85,25.84,16.95
5,5.09,6.33,33.35,0.22999999999999998,28.67,61.56,4.57,0.0,9.05,14.43,8.06,18.47,0.0,0.03,4.85,0.24,7.38,12.02,3.02,52.77,1.4100000000000001,24.09,40.09,0.43,0.0,2.87,16.4,7.61,20.24,0.0,0.0,2.7,0.35000000000000003,5.04,0.65,0.0,12.620000000000001,2.45,23.01,34.97,0.0,0.1,22.51,29.34,5.46,11.540000000000001,32.87,16.56,12.86,54.28,0.58,0.98,0.0,49.21,0.0,20.63,11.41,0.0,1.35,18.86,2.79,4.4,21.84,29.29,4.99,12.7,41.63,6.08
6,3.0500000000000003,5.23,40.82,0.78,35.14,52.53,6.04,0.0,7.03,12.91,1.15,19.15,0.15,0.0,4.41,0.7100000000000001,24.49,2.15,0.8200000000000001,44.91,1.13,21.52,11.72,0.22,0.0,1.56,20.48,5.28,3.32,0.0,0.0,7.26,1.55,3.7,0.9400000000000001,0.0,14.59,1.1,24.36,20.6,0.0,1.83,20.2,15.55,3.45,6.37,33.15,23.66,14.55,57.63,2.77,6.08,1.24,53.41,0.18,19.27,14.64,0.0,0.23,14.58,11.2,1.81,29.42,6.7,2.17,4.44,15.5,39.68
7,8.36,4.16,39.99,0.25,29.2,35.94,6.23,0.0,3.3000000000000003,22.24,7.86,18.35,0.0,0.0,2.99,0.03,12.16,2.32,1.73,52.8,0.3,27.68,28.95,3.05,0.0,0.49,24.37,3.63,2.23,0.0,0.0,9.1,7.140000000000001,20.62,3.48,0.39,43.01,0.0,30.6,26.46,0.0,7.2,19.580000000000002,30.84,0.76,4.7,33.83,17.11,13.91,56.65,25.91,0.35,0.0,75.79,0.03,32.37,39.7,0.58,0.0,6.92,0.02,8.88,11.95,14.14,13.43,0.2,26.740000000000002,1.27
8,7.07,5.18,40.36,3.5300000000000002,29.04,51.31,6.13,0.0,4.15,11.47,17.41,12.27,0.0,0.0,1.4100000000000001,1.9000000000000001,0.29,0.21000000000000002,0.38,37.21,0.48,22.4,25.65,0.38,0.0,0.1,12.28,1.25,0.04,0.0,0.0,20.88,10.9,7.2,1.95,0.12,43.43,0.0,27.07,31.1,0.03,3.04,16.15,17.65,3.66,9.61,18.91,13.43,8.84,40.24,22.439999999999998,10.97,0.0,100.82,2.97,24.21,69.33,1.09,0.19,0.03,2.35,0.53,3.89,3.35,0.69,11.07,30.68,10.64
9,6.6000000000000005,5.19,48.26,3.15,38.92,74.69,10.65,0.0,6.49,10.86,11.35,2.22,0.0,0.0,4.73,8.18,9.55,3.61,1.1,25.9,0.7000000000000001,22.03,19.43,0.0,0.0,0.0,10.05,0.55,0.05,0.0,0.05,32.37,21.47,0.21000000000000002,0.0,0.0,23.09,0.09,21.88,14.78,0.0,0.0,11.98,3.2800000000000002,7.0,17.1,8.8,13.76,0.0,17.27,0.03,23.8,0.0,66.31,2.32,21.24,22.26,0.3,0.24,11.66,26.36,0.09,15.17,1.36,0.0,23.07,18.18,11.780000000000001
