,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,0.41000000000000003,0.43,47.55,2.62,60.14,97.35,6.89,67.34,40.11,40.68,6.55,0.0,1.07,0.0,52.99,1.6300000000000001,4.93,6.71,1.64,45.84,0.0,49.94,92.65,0.0,45.13,18.2,72.88,0.0,8.27,5.17,2.43,0.0,0.0,5.5,5.25,1.51,47.96,0.27,46.77,87.76,0.27,54.42,9.04,59.48,1.7,14.42,0.39,0.47000000000000003,1.75,6.64,2.0300000000000002,6.66,7.26,48.38,1.01,46.31,91.89,0.61,50.69,8.290000000000001,60.18,4.44,16.85,1.25,1.05,7.69,16.22,9.66
1,7.13,6.97,47.91,0.79,61.55,90.09,4.76,71.7,41.81,40.68,6.53,0.0,0.0,0.0,57.78,4.8,10.43,2.41,0.0,47.16,0.33,50.73,94.49,0.0,43.14,11.64,71.86,0.0,8.040000000000001,6.54,6.24,0.0,0.0,7.16,2.34,1.3,47.57,0.96,44.38,89.07,0.0,52.36,7.99,57.8,2.02,15.709999999999999,1.85,0.72,1.25,6.87,1.61,5.0,4.37,47.35,0.37,45.36,91.16,0.63,51.1,7.68,59.1,3.72,16.99,1.79,0.93,5.8100000000000005,12.870000000000001,7.38
2,0.66,0.37,47.83,2.08,61.269999999999996,93.76,4.58,70.05,37.71,43.41,5.73,0.15,0.0,0.0,52.63,4.24,1.98,4.43,1.18,45.93,0.87,49.56,96.39,0.33,44.99,8.66,65.2,0.92,8.45,9.09,2.45,1.8800000000000001,1.51,6.59,5.94,2.41,50.2,0.15000000000000002,48.06,97.17,1.22,53.97,7.55,58.37,0.93,12.91,0.7000000000000001,0.31,4.43,11.459999999999999,6.63,0.65,0.37,46.21,0.63,46.29,87.7,0.0,53.64,7.69,59.07,5.79,20.48,1.35,1.27,5.98,12.11,1.09
3,3.71,2.87,43.85,0.48,62.24,97.22,3.9,73.17999999999999,40.32,46.44,3.09,0.72,0.0,0.0,51.78,1.74,5.140000000000001,2.74,0.66,44.74,0.62,51.22,91.12,0.03,52.14,10.92,68.16,0.36,9.84,0.63,1.12,4.48,3.77,2.15,2.04,0.09,47.410000000000004,1.0,46.61,92.72,0.23,54.56,6.11,60.53,0.27,17.78,0.48,1.26,0.55,6.3100000000000005,1.44,0.46,0.0,47.84,0.8,46.39,88.72,0.0,51.06,6.1000000000000005,56.41,4.53,21.09,0.8200000000000001,1.96,5.12,12.31,0.28
4,4.45,2.48,45.61,0.12,62.55,98.5,6.57,67.9,39.21,46.28,5.09,0.27,0.0,0.0,52.08,5.0,7.82,3.23,1.2,46.97,2.09,50.35,90.4,0.09,50.68,11.790000000000001,68.71,0.06,12.34,1.1500000000000001,2.09,5.74,3.84,2.46,4.38,2.04,46.74,2.4,46.96,93.31,0.43,53.83,7.2,61.52,2.21,17.41,0.33,1.39,2.93,8.87,5.6,2.65,2.5500000000000003,46.91,1.05,46.7,92.8,0.6900000000000001,51.8,7.09,57.14,2.31,17.09,1.0,1.18,7.58,16.39,5.43
5,1.72,1.68,46.54,0.30000000000000004,61.849999999999994,93.42,4.5200000000000005,67.49,37.31,46.480000000000004,5.96,1.34,0.01,0.0,50.75,6.45,4.2,2.12,0.98,40.97,1.25,48.34,90.0,0.0,48.23,11.68,67.17,0.75,8.03,0.8200000000000001,2.59,4.1,2.66,1.87,4.02,2.55,46.58,1.6600000000000001,47.56,90.11,1.21,53.02,9.01,57.87,2.2800000000000002,17.82,0.74,1.67,3.35,10.540000000000001,3.42,0.27,0.15,48.91,0.36,48.95,90.82,0.09,53.85,7.4,57.7,2.44,20.66,2.15,1.42,6.3100000000000005,12.22,2.27
6,3.04,1.28,46.57,1.37,61.08,98.44,5.33,68.9,37.76,48.79,2.83,0.61,0.35000000000000003,0.0,51.66,5.11,5.37,6.2,2.1,47.08,0.78,48.45,96.05,0.54,48.14,11.0,65.18,0.03,9.32,0.58,1.92,6.47,4.87,6.82,1.35,0.9600000000000001,47.19,1.49,48.03,94.11,0.0,50.98,6.5600000000000005,59.199999999999996,2.15,17.81,0.51,1.15,3.62,11.02,0.52,3.12,1.55,47.57,1.48,47.68,94.12,0.7000000000000001,52.99,6.37,56.53,3.11,18.21,1.3900000000000001,0.86,9.68,14.18,4.05
7,2.47,2.16,43.4,0.3,61.4,100.18,7.72,71.87,40.21,50.29,3.49,0.0,1.43,0.0,48.11,2.2,12.18,0.45,0.36,44.2,1.1300000000000001,49.65,92.22,0.03,49.230000000000004,10.29,66.07,0.18,10.71,0.06,2.64,4.24,3.19,2.32,3.5,2.06,45.52,1.1800000000000002,46.26,91.42,0.8300000000000001,52.01,7.5,61.07,1.6400000000000001,18.57,0.41000000000000003,1.97,3.04,11.0,4.7700000000000005,0.29,0.45,48.35,1.17,47.64,91.7,0.0,52.32,7.390000000000001,57.71,2.01,17.240000000000002,0.95,0.18,9.75,10.82,1.26
8,18.14,12.81,23.86,0.77,44.96,68.13,2.27,39.16,37.45,30.46,3.46,2.5,1.09,0.0,43.589999999999996,4.4,34.78,1.73,1.25,45.17,0.75,49.47,93.03,0.14,52.45,11.64,60.08,0.48000000000000004,15.65,0.27,3.06,4.28,7.63,1.77,0.23,0.75,44.14,3.14,46.04,94.74,0.0,51.22,5.99,60.6,3.14,18.97,0.92,2.31,2.23,10.05,0.18,7.44,5.03,51.54,0.06,47.31,93.26,2.21,52.63,7.22,56.03,2.06,15.06,1.31,0.42,7.5,15.29,5.9
9,14.37,2.59,2.08,0.75,9.95,21.17,2.47,6.5,5.82,3.4699999999999998,11.39,12.39,0.0,3.6,3.3200000000000003,4.11,12.92,8.81,3.38,45.45,0.0,48.25,91.91,0.8200000000000001,54.53,10.98,62.21,0.12,9.66,0.12,1.11,3.33,7.45,6.68,3.83,2.5500000000000003,46.4,1.12,46.85,95.13,0.8300000000000001,49.93,6.5600000000000005,59.44,2.67,16.65,0.66,1.4,4.43,10.9,3.35,5.16,4.74,49.730000000000004,0.22,46.29,95.58,1.47,52.72,6.0600000000000005,55.71,1.85,15.97,3.83,0.87,8.120000000000001,13.72,6.47
