,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67
0,2.46,0.6900000000000001,1.84,0.24000000000000002,39.57,47.31,1.03,17.36,20.53,27.25,1.17,18.27,0.97,0.81,7.8,5.67,0.15,0.0,0.29000000000000004,0.25,0.72,41.34,33.24,2.57,18.45,19.43,27.56,3.42,10.65,7.95,0.5,18.72,4.17,0.0,15.01,4.890000000000001,2.54,0.09,40.15,49.04,0.060000000000000005,26.23,24.8,31.14,0.39,4.57,17.73,0.0,17.65,1.66,5.09,0.0,0.0,11.84,0.0,49.09,67.11,0.0,19.3,31.16,45.46,2.91,41.86,0.0,12.78,0.0,43.3,6.86
1,4.33,0.75,6.17,0.27,39.08,38.13,0.18,21.27,20.45,24.82,4.47,21.09,4.37,0.17,7.3,1.1,0.27,2.74,0.73,0.06,1.17,39.77,38.35,1.35,19.51,18.93,29.49,5.23,11.6,14.28,0.27,20.2,1.87,1.6,10.74,4.48,2.7199999999999998,1.4400000000000002,35.38,42.87,3.33,37.09,24.900000000000002,23.48,0.8099999999999999,1.7,9.43,0.0,21.98,1.94,1.32,0.0,0.27,14.73,0.0,49.55,72.91,2.6999999999999997,21.22,30.87,46.37,1.58,19.31,0.0,9.23,5.97,51.02,9.27
2,16.82,8.53,2.14,0.03,37.67,48.5,0.03,21.95,22.56,18.09,5.37,18.91,1.41,0.08,7.94,1.61,13.61,1.07,0.9199999999999999,0.87,1.6400000000000001,38.05,41.44,0.83,20.13,18.55,29.29,7.78,18.42,4.14,0.79,14.85,1.92,3.84,0.0,0.0,19.46,2.44,33.6,50.1,6.08,46.41,20.080000000000002,0.52,32.51,0.0,0.36,2.95,70.03,5.14,7.21,0.0,0.0,11.01,0.0,54.95,73.73,0.06,17.6,37.76,51.95,4.0200000000000005,33.71,0.0,17.94,0.0,47.13,13.1
3,9.34,2.99,7.44,0.84,39.31,40.88,0.12,21.47,21.14,25.99,6.0,23.22,0.38,0.06,5.82,1.12,0.0,0.32,1.61,1.06,4.36,38.93,41.17,0.79,24.32,19.02,31.52,5.62,18.71,4.32,1.34,16.71,5.27,0.03,2.71,1.47,6.87,1.7,32.08,43.410000000000004,3.43,18.49,17.69,22.89,1.36,8.31,5.82,0.06,15.51,3.91,2.02,0.38,0.06,5.45,0.06,49.33,71.54,0.0,12.64,36.41,45.09,13.03,48.35,0.0,27.8,0.15000000000000002,49.36,22.900000000000002
4,12.04,6.08,2.25,0.52,37.59,33.13,0.0,18.669999999999998,20.39,20.03,4.98,22.69,0.78,0.07,5.05,2.25,1.06,0.8,1.28,8.14,3.03,40.61,46.97,0.78,23.26,15.7,14.24,2.98,4.79,5.6,0.61,26.79,31.08,0.03,13.84,4.03,5.12,0.0,34.11,44.5,0.62,23.28,21.8,20.53,0.09,9.51,0.38,0.03,24.34,1.77,0.0,0.0,0.0,10.19,0.0,50.18,76.85,0.0,14.9,31.38,53.41,8.43,55.08,0.0,15.76,0.0,44.93,12.45
5,5.5600000000000005,3.15,6.2,0.0,37.7,43.73,0.09,22.93,19.85,19.92,6.83,23.51,1.92,0.17,3.38,0.8300000000000001,0.22,4.98,4.85,4.58,3.39,41.55,49.76,1.2,23.29,22.78,38.07,0.59,9.91,14.870000000000001,2.48,17.59,9.32,0.0,24.91,12.46,10.38,0.14,34.76,47.35,0.61,25.07,23.7,17.96,0.66,7.21,2.55,0.0,28.05,4.0600000000000005,8.15,0.0,0.0,9.0,0.03,45.37,67.27,0.12000000000000001,19.41,26.82,34.53,6.33,30.22,0.0,10.72,0.66,49.339999999999996,3.85
6,3.9,0.9700000000000001,4.15,0.81,41.089999999999996,43.65,0.54,22.18,22.68,24.11,2.89,23.75,0.39,0.06,8.72,2.58,0.33,0.2,0.8300000000000001,2.65,2.58,40.58,50.33,4.72,21.78,21.18,32.65,2.98,6.63,8.03,0.14,22.78,1.8,0.03,15.03,0.03,5.6,1.1300000000000001,37.71,64.18,5.76,42.67,23.17,12.22,5.38,0.0,0.11,0.0,42.410000000000004,22.12,13.04,0.0,0.0,10.07,5.9399999999999995,51.230000000000004,66.32,1.2000000000000002,8.73,31.720000000000002,42.37,9.36,19.7,0.0,18.43,10.01,63.18,3.46
7,1.15,0.09,3.18,2.27,37.25,53.91,0.0,14.46,14.06,12.28,2.41,4.1899999999999995,2.0100000000000002,0.02,24.59,23.79,0.76,5.13,3.83,6.72,1.82,42.04,48.58,2.1,28.47,20.53,32.0,1.21,13.82,9.09,0.03,13.52,2.48,0.0,51.29,36.1,7.6499999999999995,0.0,27.9,36.73,2.07,28.2,31.11,42.41,0.45,0.61,14.47,0.0,30.95,20.41,37.74,0.0,0.0,11.21,0.15,51.94,63.82,0.26,5.59,30.87,51.41,2.25,43.07,0.0,21.44,0.38,48.54,2.02
8,7.47,1.36,1.29,1.43,35.08,27.83,0.27,13.82,20.28,29.330000000000002,5.46,17.02,3.0,0.02,6.5,0.69,0.08,7.33,8.55,7.91,1.4200000000000002,39.53,47.85,0.36,29.09,22.61,23.06,2.93,13.84,5.23,0.28,8.4,2.5,0.0,2.7399999999999998,7.23,33.98,4.19,6.49,45.18,23.9,8.71,5.81,30.61,0.0,3.25,0.0,29.73,24.66,3.11,25.94,0.0,0.0,10.67,0.24000000000000002,53.25,70.78,0.06,2.59,34.58,48.19,6.93,46.3,0.0,16.86,0.34,46.42,4.06
9,0.04,0.31,4.53,0.25,37.82,31.51,1.3800000000000001,19.31,19.75,25.16,3.14,24.42,3.03,0.31,7.55,0.0,0.0,4.1,1.03,6.38,0.51,39.410000000000004,52.55,0.04,28.490000000000002,21.1,29.89,2.19,14.72,7.89,0.0,9.85,1.83,0.0,0.8400000000000001,0.53,28.03,5.7,42.230000000000004,91.39,9.08,9.69,27.3,47.82,1.26,50.34,0.0,51.93,0.0,46.15,39.35,0.0,0.0,14.4,0.38,52.64,65.11,1.62,4.1,32.07,45.54,3.25,46.37,0.0,19.9,0.0,46.37,3.95
